Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.6,27.2,36.3,27.2 - 36.3,25.5-32.2
Symptoms of Depressive Disorder,Iowa,26.1,21.7,31,21.7 - 31.0,25.1-28.7
Symptoms of Anxiety Disorder,Iowa,32.4,28.2,36.8,28.2 - 36.8,30.9-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,37.4,33,41.9,33.0 - 41.9,34.5-38.3
Symptoms of Depressive Disorder,Iowa,23.1,19.1,27.6,19.1 - 27.6,19.0-23.8
Symptoms of Anxiety Disorder,Iowa,31.5,26.7,36.6,26.7 - 36.6,29.5-32.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,34.3,29.8,38.9,29.8 - 38.9,34.1-35.9
Symptoms of Depressive Disorder,Iowa,17.5,14,21.5,14.0 - 21.5,17.5-23.8
Symptoms of Anxiety Disorder,Iowa,29.6,25.4,34,25.4 - 34.0,25.7-31.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.6,27.4,36.1,27.4 - 36.1,30.9-34.8
Symptoms of Depressive Disorder,Iowa,17.7,14.2,21.8,14.2 - 21.8,17.7-24.0
Symptoms of Anxiety Disorder,Iowa,25.2,21.4,29.2,21.4 - 29.2,23.8-31.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.9,25,33,25.0 - 33.0,28.0-34.7
Symptoms of Depressive Disorder,Iowa,25.3,20.4,30.7,20.4 - 30.7,20.5-25.9
Symptoms of Anxiety Disorder,Iowa,31.3,26.4,36.5,26.4 - 36.5,27.5-32.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,37.8,32.7,43.1,32.7 - 43.1,37.2-40.5
Symptoms of Depressive Disorder,Iowa,20,16.9,23.4,16.9 - 23.4,15.2-20.9
Symptoms of Anxiety Disorder,Iowa,28,24.7,31.6,24.7 - 31.6,20.9-28.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33.2,29.7,36.8,29.7 - 36.8,24.2-33.2
Symptoms of Depressive Disorder,Iowa,22.8,19.7,26,19.7 - 26.0,21.8-23.2
Symptoms of Anxiety Disorder,Iowa,26.8,23.8,30,23.8 - 30.0,22.2-29.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,32,28.9,35.2,28.9 - 35.2,26.3-33.1
Symptoms of Depressive Disorder,Iowa,25.5,22.3,28.9,22.3 - 28.9,24.1-26.8
Symptoms of Anxiety Disorder,Iowa,27.5,24,31.3,24.0 - 31.3,22.5-29.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,34.2,31.1,37.4,31.1 - 37.4,33.4-36.2
Symptoms of Depressive Disorder,Iowa,19.6,15.5,24.2,15.5 - 24.2,16.6-22.4
Symptoms of Anxiety Disorder,Iowa,26.8,22.6,31.3,22.6 - 31.3,24.7-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,29.6,25,34.6,25.0 - 34.6,27.8-34.3
Symptoms of Depressive Disorder,Iowa,22.4,19.3,25.7,19.3 - 25.7,19.3-22.4
Symptoms of Anxiety Disorder,Iowa,29.9,26.4,33.5,26.4 - 33.5,24.2-30.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33.4,30.1,36.9,30.1 - 36.9,28.7-35.4
Symptoms of Depressive Disorder,Iowa,29.4,24.2,35.1,24.2 - 35.1,27.7-29.4
Symptoms of Anxiety Disorder,Iowa,41,35.6,46.6,35.6 - 46.6,38.4-45.6
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,44.3,38.7,50.1,38.7 - 50.1,43.7-50.1
Symptoms of Depressive Disorder,Iowa,25.5,21.8,29.5,21.8 - 29.5,21.6-26.2
Symptoms of Anxiety Disorder,Iowa,32.9,29.8,36.1,29.8 - 36.1,28.4-34.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,39.7,36.1,43.4,36.1 - 43.4,32.1-39.7
Symptoms of Depressive Disorder,Iowa,24.3,20.3,28.7,20.3 - 28.7,20.2-26.5
Symptoms of Anxiety Disorder,Iowa,31,26.9,35.3,26.9 - 35.3,27.5-34.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,36.1,31.9,40.5,31.9 - 40.5,32.4-39.2
Symptoms of Depressive Disorder,Iowa,29.9,25.2,35,25.2 - 35.0,29.7-32.3
Symptoms of Anxiety Disorder,Iowa,34.5,29.2,40.1,29.2 - 40.1,34.3-35.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,39.5,34.5,44.6,34.5 - 44.6,31.8-39.7
Symptoms of Depressive Disorder,Iowa,28,23.1,33.4,23.1 - 33.4,26.1-28.0
Symptoms of Anxiety Disorder,Iowa,31.1,26.5,36.1,26.5 - 36.1,29.2-33.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,36.3,31.2,41.7,31.2 - 41.7,33.6-38.4
Symptoms of Depressive Disorder,Iowa,25.6,21.3,30.3,21.3 - 30.3,25.2-27.1
Symptoms of Anxiety Disorder,Iowa,31.8,28.1,35.7,28.1 - 35.7,23.8-32.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,38.5,34.1,43,34.1 - 43.0,37.7-40.8
Symptoms of Depressive Disorder,Iowa,25,21.2,29.1,21.2 - 29.1,24.9-27.3
Symptoms of Anxiety Disorder,Iowa,30,26.2,34.2,26.2 - 34.2,25.0-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,35.5,31.3,39.8,31.3 - 39.8,29.2-36.4
Symptoms of Depressive Disorder,Iowa,25.3,21.8,29,21.8 - 29.0,24.2-27.4
Symptoms of Anxiety Disorder,Iowa,29.1,25.7,32.7,25.7 - 32.7,21.4-30.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,34.3,31,37.8,31.0 - 37.8,25.5-35.9
Symptoms of Depressive Disorder,Iowa,24.5,20.1,29.2,20.1 - 29.2,23.0-24.9
Symptoms of Anxiety Disorder,Iowa,27.2,23.2,31.6,23.2 - 31.6,21.1-28.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33.3,28.7,38.1,28.7 - 38.1,25.9-33.3
Symptoms of Depressive Disorder,Iowa,21.9,17.6,26.6,17.6 - 26.6,17.2-22.4
Symptoms of Anxiety Disorder,Iowa,25.5,20.9,30.6,20.9 - 30.6,21.2-26.6
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,30.1,24.8,35.8,24.8 - 35.8,24.9-32.0
Symptoms of Depressive Disorder,Iowa,23,18.9,27.6,18.9 - 27.6,22.4-23.7
Symptoms of Anxiety Disorder,Iowa,24,20,28.4,20.0 - 28.4,23.6-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,29.4,25.1,33.9,25.1 - 33.9,28.8-31.4
Symptoms of Depressive Disorder,Iowa,19.5,15.8,23.6,15.8 - 23.6,19.2-20.7
Symptoms of Anxiety Disorder,Iowa,25.2,21.2,29.4,21.2 - 29.4,23.4-25.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.7,23.7,32.1,23.7 - 32.1,27.4-29.8
Symptoms of Depressive Disorder,Iowa,19.2,15.4,23.5,15.4 - 23.5,19.0-20.6
Symptoms of Anxiety Disorder,Iowa,23.6,20.1,27.4,20.1 - 27.4,23.5-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,26.2,22.3,30.4,22.3 - 30.4,23.2-27.1
Symptoms of Depressive Disorder,Iowa,19.8,16.3,23.8,16.3 - 23.8,18.4-20.2
Symptoms of Anxiety Disorder,Iowa,23.9,20.2,28,20.2 - 28.0,22.6-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.8,23.6,32.2,23.6 - 32.2,26.9-29.2
Symptoms of Depressive Disorder,Iowa,22.9,18.4,27.9,18.4 - 27.9,22.4-31.5
Symptoms of Anxiety Disorder,Iowa,28.7,23.8,33.9,23.8 - 33.9,28.2-35.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,32.4,27.1,38,27.1 - 38.0,32.0-39.2
Symptoms of Depressive Disorder,Iowa,15.4,11.6,19.8,11.6 - 19.8,11.5-17.4
Symptoms of Anxiety Disorder,Iowa,22.7,18.1,27.8,18.1 - 27.8,22.6-24.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,25.3,20.5,30.6,20.5 - 30.6,21.6-26.2
Symptoms of Depressive Disorder,Iowa,19.7,14.1,26.3,14.1 - 26.3,18.8-21.7
Symptoms of Anxiety Disorder,Iowa,24.8,18.7,31.9,18.7 - 31.9,23.9-26.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,26.9,20.8,33.7,20.8 - 33.7,23.5-27.0
Symptoms of Depressive Disorder,Iowa,17.4,14,21.3,14.0 - 21.3,13.1-18.8
Symptoms of Anxiety Disorder,Iowa,23.4,19,28.2,19.0 - 28.2,19.2-23.8
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.1,22.8,31.8,22.8 - 31.8,21.2-28.0
Symptoms of Depressive Disorder,Iowa,20.1,16.1,24.5,16.1 - 24.5,19.5-22.5
Symptoms of Anxiety Disorder,Iowa,24.2,20.4,28.4,20.4 - 28.4,21.6-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.5,24.2,33,24.2 - 33.0,23.9-29.4
Symptoms of Depressive Disorder,Iowa,20.2,15.6,25.4,15.6 - 25.4,19.6-21.2
Symptoms of Anxiety Disorder,Iowa,25.3,20.6,30.5,20.6 - 30.5,18.5-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.9,23.5,34.8,23.5 - 34.8,19.9-29.2
Symptoms of Depressive Disorder,Iowa,18.9,15.1,23.2,15.1 - 23.2,18.4-21.3
Symptoms of Anxiety Disorder,Iowa,24.8,20.2,29.9,20.2 - 29.9,18.6-24.8
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,30.4,25.7,35.5,25.7 - 35.5,28.3-31.3
Symptoms of Depressive Disorder,Iowa,19.7,16.3,23.4,16.3 - 23.4,14.1-20.2
Symptoms of Anxiety Disorder,Iowa,23,19.2,27.2,19.2 - 27.2,20.0-24.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.2,23.1,31.6,23.1 - 31.6,22.9-28.6
Symptoms of Depressive Disorder,Iowa,20.7,17.4,24.3,17.4 - 24.3,19.4-21.5
Symptoms of Anxiety Disorder,Iowa,26.4,22.1,31,22.1 - 31.0,25.1-27.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,29.8,25.2,34.7,25.2 - 34.7,29.6-31.1
Symptoms of Depressive Disorder,Iowa,19.1,15.6,23,15.6 - 23.0,18.5-21.0
Symptoms of Anxiety Disorder,Iowa,24.8,20.9,29.1,20.9 - 29.1,22.0-25.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28,23.7,32.6,23.7 - 32.6,24.8-29.7
Symptoms of Depressive Disorder,Iowa,15,12.5,17.9,12.5 - 17.9,15.0-20.3
Symptoms of Anxiety Disorder,Iowa,21.4,18.4,24.6,18.4 - 24.6,20.8-25.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,24.5,21.1,28.1,21.1 - 28.1,23.9-28.5
Symptoms of Depressive Disorder,Iowa,21.3,18.4,24.5,18.4 - 24.5,21.1-22.8
Symptoms of Anxiety Disorder,Iowa,23.7,20.5,27.2,20.5 - 27.2,20.7-24.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.7,25.6,32.1,25.6 - 32.1,24.3-28.7
Symptoms of Depressive Disorder,Iowa,20.7,16.6,25.3,16.6 - 25.3,20.0-21.1
Symptoms of Anxiety Disorder,Iowa,23.6,19.4,28.2,19.4 - 28.2,19.2-24.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.1,23.4,33.2,23.4 - 33.2,25.0-28.5
Symptoms of Depressive Disorder,Iowa,19,15.2,23.3,15.2 - 23.3,14.6-19.0
Symptoms of Anxiety Disorder,Iowa,24.8,20.4,29.6,20.4 - 29.6,24.8-26.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28,23.6,32.8,23.6 - 32.8,19.2-28.0
Symptoms of Depressive Disorder,Iowa,25.3,20.7,30.3,20.7 - 30.3,25.0-32.7
Symptoms of Anxiety Disorder,Iowa,30,25.8,34.6,25.8 - 34.6,28.4-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,34.7,30,39.6,30.0 - 39.6,31.5-34.8
Symptoms of Depressive Disorder,Iowa,19.9,16.1,24.1,16.1 - 24.1,12.4-20.4
Symptoms of Anxiety Disorder,Iowa,24.4,20.8,28.4,20.8 - 28.4,23.2-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,26.8,23,30.9,23.0 - 30.9,25.5-30.3
Symptoms of Depressive Disorder,Iowa,19.9,16.1,24.2,16.1 - 24.2,19.4-21.3
Symptoms of Anxiety Disorder,Iowa,24.5,20.2,29.2,20.2 - 29.2,19.5-25.6
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,28.7,24.5,33.2,24.5 - 33.2,24.5-29.4
Symptoms of Depressive Disorder,Iowa,21,17.6,24.9,17.6 - 24.9,14.7-22.3
Symptoms of Anxiety Disorder,Iowa,24.9,21.3,28.7,21.3 - 28.7,24.6-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.4,27.4,35.7,27.4 - 35.7,27.8-33.1
Symptoms of Depressive Disorder,Iowa,22,17.2,27.5,17.2 - 27.5,21.8-23.7
Symptoms of Anxiety Disorder,Iowa,28.4,23.7,33.5,23.7 - 33.5,28.4-31.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.8,27.2,36.7,27.2 - 36.7,27.5-33.3
Symptoms of Depressive Disorder,Iowa,24,20.9,27.2,20.9 - 27.2,21.1-24.0
Symptoms of Anxiety Disorder,Iowa,27.5,24,31.3,24.0 - 31.3,23.0-28.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33.7,30.4,37.1,30.4 - 37.1,33.0-35.2
Symptoms of Depressive Disorder,Iowa,21.1,17.5,25.1,17.5 - 25.1,20.7-23.0
Symptoms of Anxiety Disorder,Iowa,28.2,24.7,31.9,24.7 - 31.9,26.9-28.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,32.2,28.5,36.2,28.5 - 36.2,31.0-33.3
Symptoms of Depressive Disorder,Iowa,19.1,16,22.5,16.0 - 22.5,15.2-19.6
Symptoms of Anxiety Disorder,Iowa,23.3,20,26.8,20.0 - 26.8,22.3-25.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.8,24.2,31.7,24.2 - 31.7,23.9-29.4
Symptoms of Depressive Disorder,Iowa,18.6,15.8,21.6,15.8 - 21.6,15.4-19.5
Symptoms of Anxiety Disorder,Iowa,25.6,22.2,29.3,22.2 - 29.3,19.7-25.6
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,29.4,25.8,33.1,25.8 - 33.1,24.1-29.4
Symptoms of Depressive Disorder,Iowa,24.4,20.4,28.7,20.4 - 28.7,23.6-29.7
Symptoms of Anxiety Disorder,Iowa,27.9,23.9,32.1,23.9 - 32.1,27.9-29.7
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,32.8,28.4,37.4,28.4 - 37.4,32.3-34.5
Symptoms of Depressive Disorder,Iowa,21.6,17.9,25.6,17.9 - 25.6,21.3-23.4
Symptoms of Anxiety Disorder,Iowa,28.1,23.8,32.8,23.8 - 32.8,28.0-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33,28.7,37.4,28.7 - 37.4,32.7-34.7
Symptoms of Depressive Disorder,Iowa,18.3,15,21.9,15.0 - 21.9,11.9-19.2
Symptoms of Anxiety Disorder,Iowa,24.4,20.7,28.4,20.7 - 28.4,19.2-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,27.2,23.5,31.2,23.5 - 31.2,23.6-29.7
Symptoms of Depressive Disorder,Iowa,21.2,17.2,25.7,17.2 - 25.7,18.9-21.2
Symptoms of Anxiety Disorder,Iowa,26.8,23.1,30.8,23.1 - 30.8,26.4-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.8,28.1,35.8,28.1 - 35.8,30.2-31.9
Symptoms of Depressive Disorder,Iowa,21,17.9,24.4,17.9 - 24.4,19.6-21.3
Symptoms of Anxiety Disorder,Iowa,29.4,25.9,33.2,25.9 - 33.2,27.5-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,32.7,28.9,36.7,28.9 - 36.7,32.7-35.1
Symptoms of Depressive Disorder,Iowa,20.9,17.6,24.5,17.6 - 24.5,19.2-21.2
Symptoms of Anxiety Disorder,Iowa,25.5,21.9,29.3,21.9 - 29.3,19.2-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,30,26.4,33.9,26.4 - 33.9,22.8-30.1
Symptoms of Depressive Disorder,Iowa,20.5,17.4,23.8,17.4 - 23.8,19.6-20.6
Symptoms of Anxiety Disorder,Iowa,26.8,23.1,30.7,23.1 - 30.7,26.5-31.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,31.5,27.7,35.4,27.7 - 35.4,31.4-37.0
Symptoms of Depressive Disorder,Iowa,21,17.7,24.6,17.7 - 24.6,20.5-21.9
Symptoms of Anxiety Disorder,Iowa,25.6,22.5,29,22.5 - 29.0,22.6-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,30.6,27.2,34.2,27.2 - 34.2,24.5-30.6
Symptoms of Depressive Disorder,Iowa,21.5,18.2,25,18.2 - 25.0,20.8-22.7
Symptoms of Anxiety Disorder,Iowa,29,25.3,32.9,25.3 - 32.9,28.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,33.4,29.6,37.3,29.6 - 37.3,32.8-34.9
Symptoms of Depressive Disorder,Iowa,12.6,10.2,15.2,10.2 - 15.2,12.1-13.8
Symptoms of Anxiety Disorder,Iowa,16.2,13,19.9,13.0 - 19.9,15.7-17.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,19.8,16.6,23.2,16.6 - 23.2,19.2-20.8
Symptoms of Depressive Disorder,Iowa,16.2,13.4,19.2,13.4 - 19.2,15.2-20.0
Symptoms of Anxiety Disorder,Iowa,17.5,14.9,20.3,14.9 - 20.3,15.4-17.5
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,22.8,19.9,25.8,19.9 - 25.8,21.0-23.3
Symptoms of Depressive Disorder,Iowa,11.3,8.5,14.7,8.5 - 14.7,8.8-12.0
Symptoms of Anxiety Disorder,Iowa,16,12.9,19.5,12.9 - 19.5,11.3-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,18.4,15.2,22,15.2 - 22.0,14.9-19.5
Symptoms of Depressive Disorder,Iowa,14,11.2,17.2,11.2 - 17.2,12.8-14.0
Symptoms of Anxiety Disorder,Iowa,16.1,12.8,19.9,12.8 - 19.9,10.9-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,21.2,17.6,25.2,17.6 - 25.2,19.6-21.4
Symptoms of Depressive Disorder,Iowa,12,9.1,15.4,9.1 - 15.4,8.2-12.3
Symptoms of Anxiety Disorder,Iowa,19.2,15.9,22.9,15.9 - 22.9,18.2-19.2
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,21.7,18.3,25.5,18.3 - 25.5,21.4-23.1
Symptoms of Depressive Disorder,Iowa,11.8,9.5,14.6,9.5 - 14.6,11.6-13.3
Symptoms of Anxiety Disorder,Iowa,17.5,14.8,20.4,14.8 - 20.4,17.3-19.0
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,20.5,17.6,23.8,17.6 - 23.8,19.2-20.8
Symptoms of Depressive Disorder,Iowa,12.2,9,16.1,9.0 - 16.1,12.0-13.9
Symptoms of Anxiety Disorder,Iowa,14.6,12.1,17.5,12.1 - 17.5,12.3-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,19.2,15.8,22.9,15.8 - 22.9,18.9-21.4
Symptoms of Depressive Disorder,Iowa,11.6,8.9,14.9,8.9 - 14.9,10.0-12.4
Symptoms of Anxiety Disorder,Iowa,14.2,11.9,16.8,11.9 - 16.8,11.7-16.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,17.5,15,20.2,15.0 - 20.2,15.8-19.2
Symptoms of Depressive Disorder,Iowa,14.7,11.2,18.8,11.2 - 18.8,13.9-15.4
Symptoms of Anxiety Disorder,Iowa,13,10.8,15.5,10.8 - 15.5,13.0-16.3
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,18.6,14.8,23,14.8 - 23.0,16.6-19.4
Symptoms of Depressive Disorder,Kansas,22.1,18.3,26.4,18.3 - 26.4,20.8 - 22.1
Symptoms of Anxiety Disorder,Kansas,26.4,22,31.2,22.0 - 31.2,21.7 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.5,28.4,36.9,28.4 - 36.9,25.6 - 33.3
Symptoms of Depressive Disorder,Kansas,16.7,12.8,21.2,12.8 - 21.2,16.7 - 20.6
Symptoms of Anxiety Disorder,Kansas,25.1,20,30.9,20.0 - 30.9,20.3 - 26.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28,22.5,34.1,22.5 - 34.1,26.1 - 30.5
Symptoms of Depressive Disorder,Kansas,21.2,17.9,24.8,17.9 - 24.8,20.8-23.2
Symptoms of Anxiety Disorder,Kansas,26.7,22.8,30.9,22.8 - 30.9,25.3-27.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.1,27,35.4,27.0 - 35.4,29.8-32.5
Symptoms of Depressive Disorder,Kansas,25.2,20.9,29.8,20.9 - 29.8,23.0-25.8
Symptoms of Anxiety Disorder,Kansas,30.1,26.2,34.3,26.2 - 34.3,28.7-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,33.2,29.2,37.4,29.2 - 37.4,33.2-35.5
Symptoms of Depressive Disorder,Kansas,23.1,19.7,26.8,19.7 - 26.8,21.5-24.3
Symptoms of Anxiety Disorder,Kansas,28.3,24.5,32.2,24.5 - 32.2,26.8-29.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32,28.1,36.1,28.1 - 36.1,31.7-34.2
Symptoms of Depressive Disorder,Kansas,28.6,23.4,34.3,23.4 - 34.3,27.3-30.3
Symptoms of Anxiety Disorder,Kansas,29.9,25,35.2,25.0 - 35.2,29.9-32.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,36.6,31.6,41.8,31.6 - 41.8,34.8-37.6
Symptoms of Depressive Disorder,Kansas,24.6,20,29.6,20.0 - 29.6,24.0-26.7
Symptoms of Anxiety Disorder,Kansas,30.5,25.9,35.3,25.9 - 35.3,27.4-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,37.1,32.1,42.4,32.1 - 42.4,35.0-37.9
Symptoms of Depressive Disorder,Kansas,24.4,20.1,29,20.1 - 29.0,22.5-25.0
Symptoms of Anxiety Disorder,Kansas,29.4,24.2,35,24.2 - 35.0,27.8-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.9,27.6,38.5,27.6 - 38.5,31.8-34.4
Symptoms of Depressive Disorder,Kansas,20.9,17.6,24.5,17.6 - 24.5,19.0-23.8
Symptoms of Anxiety Disorder,Kansas,28,23.6,32.6,23.6 - 32.6,25.1-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.4,27.2,35.9,27.2 - 35.9,29.2-34.0
Symptoms of Depressive Disorder,Kansas,21.5,18.5,24.8,18.5 - 24.8,17.5-23.8
Symptoms of Anxiety Disorder,Kansas,32.3,28.2,36.6,28.2 - 36.6,31.4-32.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.8,31.5,40.2,31.5 - 40.2,34.9-38.0
Symptoms of Depressive Disorder,Kansas,24.8,20.5,29.5,20.5 - 29.5,24.1-27.2
Symptoms of Anxiety Disorder,Kansas,28.8,25,32.9,25.0 - 32.9,23.8-31.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.2,30,40.7,30.0 - 40.7,34.8-38.3
Symptoms of Depressive Disorder,Kansas,30.5,26.6,34.5,26.6 - 34.5,29.4-32.2
Symptoms of Anxiety Disorder,Kansas,34.8,30.7,39.1,30.7 - 39.1,32.3-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,39.9,35.5,44.4,35.5 - 44.4,37.2-40.5
Symptoms of Depressive Disorder,Kansas,24.3,21.3,27.6,21.3 - 27.6,23.9-25.7
Symptoms of Anxiety Disorder,Kansas,32,28.9,35.1,28.9 - 35.1,30.7-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.9,32.8,39.2,32.8 - 39.2,35.7-38.2
Symptoms of Depressive Disorder,Kansas,19.3,17,21.7,17.0 - 21.7,17.4-21.7
Symptoms of Anxiety Disorder,Kansas,28.7,25.7,31.8,25.7 - 31.8,22.2-29.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.5,29.6,35.6,29.6 - 35.6,26.3-33.1
Symptoms of Depressive Disorder,Kansas,22.9,20,26,20.0 - 26.0,21.6-24.0
Symptoms of Anxiety Disorder,Kansas,30.6,27.8,33.6,27.8 - 33.6,29.3-31.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.2,32,38.5,32.0 - 38.5,33.4-36.2
Symptoms of Depressive Disorder,Kansas,22.7,18.9,26.7,18.9 - 26.7,22.5-24.4
Symptoms of Anxiety Disorder,Kansas,32.3,28.2,36.5,28.2 - 36.5,31.8-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,36.2,31.9,40.7,31.9 - 40.7,34.4-36.6
Symptoms of Depressive Disorder,Kansas,26.2,22.8,29.9,22.8 - 29.9,25.3-27.3
Symptoms of Anxiety Disorder,Kansas,34.8,30.5,39.4,30.5 - 39.4,32.6-34.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,39.6,35.4,43.9,35.4 - 43.9,37.2-39.6
Symptoms of Depressive Disorder,Kansas,30.9,26.3,35.9,26.3 - 35.9,29.5-34.0
Symptoms of Anxiety Disorder,Kansas,40.4,36.2,44.7,36.2 - 44.7,38.4-45.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,43.6,39.1,48.1,39.1 - 48.1,41.7-43.6
Symptoms of Depressive Disorder,Kansas,26.5,22.4,30.9,22.4 - 30.9,26.3-27.5
Symptoms of Anxiety Disorder,Kansas,34.9,31.1,38.9,31.1 - 38.9,34.4-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,40,36,44.2,36.0 - 44.2,39.8-41.5
Symptoms of Depressive Disorder,Kansas,27.6,24.2,31.2,24.2 - 31.2,26.6-28.4
Symptoms of Anxiety Disorder,Kansas,31.9,28.5,35.4,28.5 - 35.4,27.5-34.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,36.8,33.2,40.6,33.2 - 40.6,32.4-39.2
Symptoms of Depressive Disorder,Kansas,30.6,26.5,35,26.5 - 35.0,29.7-32.3
Symptoms of Anxiety Disorder,Kansas,35.9,31.3,40.6,31.3 - 40.6,34.3-35.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,41.5,36.8,46.4,36.8 - 46.4,41.2-44.1
Symptoms of Depressive Disorder,Kansas,25.5,20.5,31,20.5 - 31.0,21.3-26.0
Symptoms of Anxiety Disorder,Kansas,33.9,29,39.1,29.0 - 39.1,33.8-34.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,38.7,33.6,44,33.6 - 44.0,38.5-40.4
Symptoms of Depressive Disorder,Kansas,24.6,21.6,27.8,21.6 - 27.8,15.3-25.1
